haversine_km,euclidean_km,absolute_difference_km,percent_error
50.0387241194789,50.038595504397776,0.0001286150811239395,0.0002570310961903057
50.439033861466726,50.43890213486574,0.00013172660098348388,0.00026116003995095826
50.839343603454566,50.83920871555052,0.00013488790404636575,0.00026532188357601065
51.23965334544239,51.239515246057,0.00013809938538855704,0.00026951662701059343
51.63996308743022,51.63982172599008,0.00014136144013576768,0.0002737442702978553
52.04027282941806,52.04012815495468,0.00014467446337818046,0.00027800481341134874
52.44058257140588,52.440434532555656,0.00014803885022729446,0.00028229825636608233
52.84089231339372,52.84074085839793,0.00015145499578750332,0.00028662459916316296
53.24120205538155,53.241047132086415,0.00015492329513477898,0.0002909838417502814
53.64151179736938,53.641353353225966,0.00015844414341614765,0.000295375984209151
54.04182153935721,54.041659521421515,0.00016201793569337042,0.00029980102646128817
54.442131281345034,54.44196563627795,0.00016564506708505178,0.000304258968534928
54.842441023332874,54.84227169740018,0.00016932593269558538,0.00030874981043156917
55.2427507653207,55.24257770439307,0.00017306092762936487,0.0003132735521526671
55.64306050730853,55.64288365686155,0.00017685044698367847,0.0003178301936868655
56.043370249296366,56.04318955441052,0.00018069488584870896,0.00032241973501045403
56.4436799912842,56.44349539664486,0.00018459463933595543,0.0003270421761381607
56.843989733272025,56.84380118316947,0.00018855010255691695,0.00033169751708429866
57.244299475259865,57.24410691358926,0.00019256167060177631,0.0003363857578255431
57.64460921724769,57.644412587509116,0.00019662973857492716,0.00034110689836387004
58.04491895923552,58.04471820453393,0.00020075470158786857,0.0003458609387134419
58.44522870122335,58.445023764268626,0.0002049369547236779,0.0003506478788394035
58.84553844321119,58.84532926631809,0.00020917689310095966,0.0003554677187682216
59.245848185199016,59.24563471028721,0.0002134749118027912,0.0003603204584656823
59.64615792718684,59.645940095780894,0.00021783140594777706,0.00036520609795805315
60.04646766917468,60.04624542240406,0.00022224677061899456,0.00037012463721173503
60.44677741116251,60.446550689761565,0.00022672140094215365,0.0003750760762645483
60.84708715315033,60.84685589745833,0.0002312556920003317,0.0003800604150832527
61.24739689513817,61.24716104509927,0.00023585003890502776,0.00038507765368188174
61.64770663712601,61.64746613228925,0.00024050483675353007,0.0003901277920510529
